DATE	C
1/1/1959	42.3
2/1/1959	44.2
3/1/1959	44.4
4/1/1959	45.1
5/1/1959	45.4
6/1/1959	46
7/1/1959	45.4
8/1/1959	46.2
9/1/1959	47.4
10/1/1959	44.8
11/1/1959	44.7
12/1/1959	42.8
1/1/1960	43.2
2/1/1960	45.7
3/1/1960	47.4
4/1/1960	49.1
5/1/1960	45.7
6/1/1960	44.5
7/1/1960	44.9
8/1/1960	45.8
9/1/1960	47.1
10/1/1960	46.7
11/1/1960	45.1
12/1/1960	42.3
1/1/1961	41.6
2/1/1961	41.9
3/1/1961	43.2
4/1/1961	42.7
5/1/1961	43.5
6/1/1961	43.8
7/1/1961	44.1
8/1/1961	44.6
9/1/1961	45
10/1/1961	45.6
11/1/1961	46.7
12/1/1961	47.7
1/1/1962	47.5
2/1/1962	47.4
3/1/1962	48.2
4/1/1962	48.4
5/1/1962	49.6
6/1/1962	49.1
7/1/1962	49.2
8/1/1962	49
9/1/1962	50.5
10/1/1962	49
11/1/1962	52.1
12/1/1962	53.5
1/1/1963	53.1
2/1/1963	52.4
3/1/1963	52.3
4/1/1963	53.2
5/1/1963	53.5
6/1/1963	55
7/1/1963	55.5
8/1/1963	54.1
9/1/1963	54.6
10/1/1963	54.2
11/1/1963	55.6
12/1/1963	57.4
1/1/1964	57.9
2/1/1964	58.4
3/1/1964	57.6
4/1/1964	58.2
5/1/1964	59.7
6/1/1964	60.6
7/1/1964	61.6
8/1/1964	62.1
9/1/1964	60.3
10/1/1964	61.2
11/1/1964	58.9
12/1/1964	58
1/1/1965	61
2/1/1965	65.4
3/1/1965	68.4
4/1/1965	67.3
5/1/1965	65.1
6/1/1965	62
7/1/1965	63.5
8/1/1965	66
9/1/1965	70.6
10/1/1965	69.5
11/1/1965	69.1
12/1/1965	68.8
1/1/1966	70.2
2/1/1966	72.3
3/1/1966	74.4
4/1/1966	72.5
5/1/1966	68.7
6/1/1966	68
7/1/1966	69.6
8/1/1966	72.3
9/1/1966	75.1
10/1/1966	73.4
11/1/1966	72.3
12/1/1966	72.2
1/1/1967	72.5
2/1/1967	69.9
3/1/1967	71
4/1/1967	74.3
5/1/1967	74
6/1/1967	75.2
7/1/1967	74.4
8/1/1967	73.6
9/1/1967	76
10/1/1967	74.1
11/1/1967	75.1
12/1/1967	77.7
1/1/1968	79.7
2/1/1968	79.5
3/1/1968	83.4
4/1/1968	81.4
5/1/1968	84
6/1/1968	83.8
7/1/1968	86.9
8/1/1968	87.6
9/1/1968	88.1
10/1/1968	88.1
11/1/1968	87.5
12/1/1968	87.9
1/1/1969	90.1
2/1/1969	90.8
3/1/1969	89.1
4/1/1969	90.4
5/1/1969	90.5
6/1/1969	90.5
7/1/1969	88.6
8/1/1969	90.7
9/1/1969	92.6
10/1/1969	91.4
11/1/1969	90.7
12/1/1969	90.4
1/1/1970	89.3
2/1/1970	91
3/1/1970	88.5
4/1/1970	90
5/1/1970	91.2
6/1/1970	91.9
7/1/1970	91.4
8/1/1970	92.3
9/1/1970	92.3
10/1/1970	89.7
11/1/1970	85.2
12/1/1970	87.1
1/1/1971	97.4
2/1/1971	97.2
3/1/1971	99.6
1971-04-01   1	0.3
5/1/1971	99.6
1971-06-01   1	3
1971-07-01   1	1.1
1971-08-01   1	2.2
1971-09-01   1	7
1971-10-01   1	7.2
1971-11-01   1	7.3
1971-12-01   1	7.4
1972-01-01   1	10.5
1972-02-01   1	9.3
1972-03-01   1	12.3
1972-04-01   1	12.9
1972-05-01   1	14.5
1972-06-01   1	14.8
1972-07-01   1	16.6
1972-08-01   1	18.3
1972-09-01   1	17.9
1972-10-01   1	22
1972-11-01   1	23.4
1972-12-01   1	24.8
1973-01-01   1	29.3
1973-02-01   1	31.9
1973-03-01   1	34.3
1973-04-01   1	32.5
1973-05-01   1	33.3
1973-06-01   1	28.1
1973-07-01   1	30.1
1973-08-01   1	28.6
1973-09-01   1	33.7
1973-10-01   1	29.3
1973-11-01   1	29.1
1973-12-01   1	26.3
1974-01-01   1	26.7
1974-02-01   1	24.8
1974-03-01   1	28.5
1974-04-01   1	29
1974-05-01   1	32
1974-06-01   1	30.8
1974-07-01   1	33.4
1974-08-01   1	40.9
1974-09-01   1	34.7
1974-10-01   1	31
1974-11-01   1	25.4
1974-12-01   1	25
1975-01-01   1	29.5
1975-02-01   1	34.8
1975-03-01   1	31
1975-04-01   1	32
1975-05-01   1	38.1
1975-06-01   1	40
1975-07-01   1	45
1975-08-01   1	45.4
1975-09-01   1	49.9
1975-10-01   1	48
1975-11-01   1	53.2
1975-12-01   1	58.9
