Observation	Time	year	Quarter	Time	GDP	C	I	G	NX	GDPDef
1	17168	1947	Q1	1947	243.1	NA	35.9	NA	10.9	0.125665547
2	17258	1947	Q2	1947.25	246.3	NA	34.5	NA	11.3	0.127464679
3	17349	1947	Q3	1947.5	250.1	NA	34.9	NA	11.8	0.129565353
4	17441	1947	Q4	1947.75	260.3	NA	43.2	NA	9.3	0.132758709
5	17533	1948	Q1	1948	266.2	NA	47.2	NA	7.3	0.133802463
6	17624	1948	Q2	1948.25	272.9	NA	50.3	NA	5.2	0.134972056
7	17715	1948	Q3	1948.5	279.5	NA	52.5	NA	4.9	0.137468031
8	17807	1948	Q4	1948.75	280.7	NA	51.3	NA	4.5	0.137915786
9	17899	1949	Q1	1949	275.4	NA	43.1	NA	6.5	0.137185554
10	17989	1949	Q2	1949.25	271.7	NA	36.2	NA	6.3	0.135795682
11	18080	1949	Q3	1949.5	273.3	NA	39.5	NA	5.2	0.135109749
12	18172	1949	Q4	1949.75	271	NA	37.5	NA	3	0.135182322
13	18264	1950	Q1	1950	281.2	NA	46.7	NA	2.2	0.134893984
14	18354	1950	Q2	1950.25	290.7	NA	52.3	NA	1.6	0.135360402
15	18445	1950	Q3	1950.5	308.5	NA	58.6	NA	-0.7	0.138315997
16	18537	1950	Q4	1950.75	320.3	NA	68.4	NA	-0.2	0.140890296
17	18629	1951	Q1	1951	336.4	NA	64.6	NA	0.2	0.145975266
18	18719	1951	Q2	1951.25	344.5	NA	67.4	NA	1.9	0.146939646
19	18810	1951	Q3	1951.5	351.8	NA	62	NA	3.7	0.147024407
20	18902	1951	Q4	1951.75	356.6	NA	57.1	NA	4.2	0.148701055
21	18994	1952	Q1	1952	360.2	NA	58.1	NA	3.7	0.148628017
22	19085	1952	Q2	1952.25	361.4	NA	53	NA	2	0.148816142
23	19176	1952	Q3	1952.5	368.1	NA	57.2	NA	0	0.150484445
24	19268	1952	Q4	1952.75	381.2	NA	60.7	NA	-1	0.150886637
25	19360	1953	Q1	1953	388.5	NA	61.7	NA	-0.7	0.150967592
26	19450	1953	Q2	1953.25	392.3	NA	62.1	NA	-1.3	0.151262772
27	19541	1953	Q3	1953.5	391.7	NA	61.4	NA	-0.6	0.151886463
28	19633	1953	Q4	1953.75	386.5	NA	56.4	NA	-0.3	0.152177337
29	19725	1954	Q1	1954	385.9	NA	55.7	NA	-0.4	0.152650316
30	19815	1954	Q2	1954.25	386.7	NA	55.4	NA	0.3	0.152803572
31	19906	1954	Q3	1954.5	391.6	NA	59	NA	0.6	0.15300461
32	19998	1954	Q4	1954.75	400.3	NA	62.1	NA	1.1	0.153412793
33	20090	1955	Q1	1955	413.8	NA	68.7	NA	1.1	0.154184365
34	20180	1955	Q2	1955.25	422.2	NA	72.7	NA	-0.2	0.154793767
35	20271	1955	Q3	1955.5	430.9	NA	74.7	NA	0.7	0.15589161
36	20363	1955	Q4	1955.75	437.8	NA	78.9	NA	0.2	0.157436709
37	20455	1956	Q1	1956	440.5	NA	78.3	NA	0.4	0.159025271
38	20546	1956	Q2	1956.25	446.8	NA	77	NA	1.9	0.159977085
39	20637	1956	Q3	1956.5	452	NA	78.3	NA	2.6	0.161972336
40	20729	1956	Q4	1956.75	461.3	NA	77.1	NA	4.5	0.162647204
41	20821	1957	Q1	1957	470.6	NA	77.7	NA	4.8	0.164862498
42	20911	1957	Q2	1957.25	472.8	NA	77.9	NA	4.1	0.165999579
43	21002	1957	Q3	1957.5	480.3	NA	79.3	NA	4	0.167008589
44	21094	1957	Q4	1957.75	475.7	NA	71	NA	3.4	0.167123384
45	21186	1958	Q1	1958	468.4	NA	66.7	NA	1.1	0.168932809
46	21276	1958	Q2	1958.25	472.8	NA	65.1	NA	0.5	0.169407718
47	21367	1958	Q3	1958.5	486.7	NA	72	NA	0.9	0.170443005
48	21459	1958	Q4	1958.75	500.4	NA	80	NA	-0.3	0.171234986
49	21551	1959	Q1	1959	511.1	309.9	83.2	117.6	0.4	0.171705973
50	21641	1959	Q2	1959.25	524.2	315.9	89.4	118.9	0	0.171925221
51	21732	1959	Q3	1959.5	525.2	321.1	83.6	119.9	0.6	0.172587164
52	21824	1959	Q4	1959.75	529.3	323.2	86.5	119	0.6	0.173251285
53	21916	1960	Q1	1960	543.3	326.7	96.5	117.4	2.7	0.173956199
54	22007	1960	Q2	1960.25	542.7	332.6	87.1	118.8	4.2	0.174428695
55	22098	1960	Q3	1960.5	546	332.5	86.4	122.9	4.2	0.175050495
56	22190	1960	Q4	1960.75	541.1	334.4	76	124.9	5.8	0.175607698
57	22282	1961	Q1	1961	545.9	335	78.4	126.7	5.8	0.175966219
58	22372	1961	Q2	1961.25	557.4	339.9	84.1	127.9	5.5	0.176397987
59	22463	1961	Q3	1961.5	568.2	342.9	90.9	130.5	3.9	0.17686609
60	22555	1961	Q4	1961.75	581.6	350.1	92.9	134.2	4.4	0.177441499
61	22647	1962	Q1	1962	595.2	355.4	98.1	137.7	4	0.178374491
62	22737	1962	Q2	1962.25	602.6	361	96.7	139.1	5.8	0.178669908
63	22828	1962	Q3	1962.5	609.6	364.9	98.2	142.7	3.8	0.179041353
64	22920	1962	Q4	1962.75	613.1	371.1	95	144.2	2.8	0.179373903
65	23012	1963	Q1	1963	622.7	374.7	99.7	144.4	3.9	0.180174185
66	23102	1963	Q2	1963.25	631.8	378.8	101.6	144.9	6.5	0.18045757
67	23193	1963	Q3	1963.5	645	385.8	104.6	150.7	3.9	0.180697577
68	23285	1963	Q4	1963.75	654.8	390.5	107.2	151.7	5.4	0.182141864
69	23377	1964	Q1	1964	671.1	400.1	110.5	153.2	7.3	0.182726604
70	23468	1964	Q2	1964.25	680.8	408.1	110.5	155.1	7.1	0.183188031
71	23559	1964	Q3	1964.5	692.8	417	112.6	156.8	6.4	0.18391781
72	23651	1964	Q4	1964.75	698.4	419.6	115	156.9	6.9	0.18475213
73	23743	1965	Q1	1965	719.2	430.3	126.5	157.8	4.6	0.185671873
74	23833	1965	Q2	1965.25	732.4	437.2	127	160.7	7.5	0.186532192
75	23924	1965	Q3	1965.5	750.2	446.4	131.2	167.7	4.9	0.187259747
76	24016	1965	Q4	1965.75	773.1	460.4	133.8	173.4	5.5	0.188533385
77	24108	1966	Q1	1966	797.3	470.8	144.2	177.9	4.4	0.189747495
78	24198	1966	Q2	1966.25	807.2	475.9	143.5	182.6	5.2	0.191320424
79	24289	1966	Q3	1966.5	820.8	485	143.2	190.4	2.2	0.193165772
80	24381	1966	Q4	1966.75	834.9	490.8	145.9	194.6	3.6	0.194815195
81	24473	1967	Q1	1967	846	495.1	142.8	203.5	4.6	0.195611459
82	24563	1967	Q2	1967.25	851.1	504.2	137.5	204.9	4.5	0.196617922
83	24654	1967	Q3	1967.5	866.6	511.4	142.8	209.5	2.9	0.198483773
84	24746	1967	Q4	1967.75	883.2	518.9	147.7	214.4	2.2	0.200672544
85	24838	1968	Q1	1968	911.1	536.9	152.3	220.8	1.1	0.202890482
86	24929	1968	Q2	1968.25	936.3	550.6	158.9	224.9	1.9	0.20504117
87	25020	1968	Q3	1968.5	952.3	566.7	155.7	228.6	1.3	0.207053247
88	25112	1968	Q4	1968.75	970.1	575.6	160.8	232.6	1.1	0.209987445
89	25204	1969	Q1	1969	995.4	587.8	172.4	235	0.2	0.212166425
90	25294	1969	Q2	1969.25	1011.4	599.2	172.7	238.3	1.2	0.214885164
91	25385	1969	Q3	1969.5	1032	609.5	177.6	243.9	1	0.217900804
92	25477	1969	Q4	1969.75	1040.7	621.5	171.6	244.3	3.3	0.220697699
93	25569	1970	Q1	1970	1053.5	632.6	168.1	249.4	3.4	0.223810839
94	25659	1970	Q2	1970.25	1070.1	642.5	171.5	250.7	5.4	0.226937269
95	25750	1970	Q3	1970.5	1088.5	654.5	173.9	256.3	3.8	0.228811065
96	25842	1970	Q4	1970.75	1091.5	661.2	166.8	260.3	3.2	0.23182465
97	25934	1971	Q1	1971	1137.8	680.2	189.5	263.7	4.4	0.235359825
98	26024	1971	Q2	1971.25	1159.4	694.3	197.3	268	-0.2	0.238466443
99	26115	1971	Q3	1971.5	1180.3	706.7	202.1	271.6	-0.1	0.240877551
100	26207	1971	Q4	1971.75	1193.6	722.9	198.4	274	-1.7	0.242883015
101	26299	1972	Q1	1972	1233.8	740.1	213	284.2	-3.5	0.246641612
102	26390	1972	Q2	1972.25	1270.1	758.6	226.8	289	-4.3	0.248148799
103	26481	1972	Q3	1972.5	1293.8	777.1	233.1	286.2	-2.6	0.25047431
104	26573	1972	Q4	1972.75	1332	801.9	239.7	293.5	-3.1	0.253656307
105	26665	1973	Q1	1973	1380.7	826.4	254.3	301.4	-1.4	0.256611839
106	26755	1973	Q2	1973.25	1417.6	842	268.2	304.9	2.5	0.260516402
107	26846	1973	Q3	1973.5	1436.8	860.5	264.3	305.6	6.4	0.265489015
108	26938	1973	Q4	1973.75	1479.1	875.6	280.9	313.6	9	0.270778412
109	27030	1974	Q1	1974	1494.7	893.8	268.4	326.1	6.4	0.275927635
110	27120	1974	Q2	1974.25	1534.2	922.3	277.4	337.2	-2.7	0.282473809
111	27211	1974	Q3	1974.5	1563.4	951.1	271	348.3	-7	0.290665031
112	27303	1974	Q4	1974.75	1603	960.9	281.3	360.8	0	0.299223475
113	27395	1975	Q1	1975	1619.6	987.1	244.3	371.7	16.5	0.306023732
114	27485	1975	Q2	1975.25	1656.4	1015.8	243.3	375.7	21.6	0.310582765
115	27576	1975	Q3	1975.5	1713.8	1049.6	265.2	387	12	0.316117608
116	27668	1975	Q4	1975.75	1765.9	1078.5	276.2	397.4	13.8	0.321399971
117	27760	1976	Q1	1976	1824.5	1112.3	304.6	402.9	4.7	0.3247308
118	27851	1976	Q2	1976.25	1856.9	1131.9	322.3	403.2	-0.5	0.328016252
119	27942	1976	Q3	1976.5	1890.5	1161.3	328.3	405	-4.1	0.332261239
120	28034	1976	Q4	1976.75	1938.4	1195.1	337.6	412.3	-6.6	0.338142172
121	28126	1977	Q1	1977	1992.5	1230.6	360.3	422.7	-21.1	0.343581873
122	28216	1977	Q2	1977.25	2060.2	1258.5	389.7	433.1	-21.1	0.348418738
123	28307	1977	Q3	1977.5	2122.4	1289.7	414.1	439.2	-20.6	0.35269875
124	28399	1977	Q4	1977.75	2168.7	1327.9	422.3	448.1	-29.6	0.360356917
125	28491	1978	Q1	1978	2208.7	1357.8	434.8	454.8	-38.7	0.365727249
126	28581	1978	Q2	1978.25	2336.6	1415.3	470.6	473.3	-22.6	0.372425885
127	28672	1978	Q3	1978.5	2398.9	1446.2	492.4	484.1	-23.8	0.378656102
128	28764	1978	Q4	1978.75	2482.2	1485.4	515.8	497.4	-16.4	0.386617448
129	28856	1979	Q1	1979	2531.6	1521	525.8	503	-18.2	0.393533344
130	28946	1979	Q2	1979.25	2595.9	1561.5	539.3	517.3	-22.2	0.403039995
131	29037	1979	Q3	1979.5	2670.4	1616	545.6	531.8	-23	0.411647732
132	29129	1979	Q4	1979.75	2730.7	1659.5	547.9	550.1	-26.8	0.419855779
133	29221	1980	Q1	1980	2796.5	1706.5	554.6	571.2	-35.8	0.428588944
134	29312	1980	Q2	1980.25	2799.9	1708.9	519.3	586.9	-15.2	0.437990802
135	29403	1980	Q3	1980.5	2860	1767.7	495.1	591.7	5.5	0.448072193
136	29495	1980	Q4	1980.75	2993.5	1835.4	551.5	613.3	-6.7	0.460453455
137	29587	1981	Q1	1981	3131.8	1890.7	619.4	636	-14.3	0.471962265
138	29677	1981	Q2	1981.25	3167.3	1921.9	609.8	649.1	-13.5	0.480819152
139	29768	1981	Q3	1981.5	3261.2	1961.2	652.3	655.3	-7.6	0.489456543
140	29860	1981	Q4	1981.75	3283.5	1976.2	643.4	678.7	-14.8	0.498625685
141	29952	1982	Q1	1982	3273.8	2014.4	588.3	687.4	-16.3	0.505606178
142	30042	1982	Q2	1982.25	3331.3	2041.1	593.6	701	-4.4	0.51170471
143	30133	1982	Q3	1982.5	3367.1	2089.2	593	714.5	-29.6	0.519069495
144	30225	1982	Q4	1982.75	3407.8	2150.9	549.2	737.3	-29.6	0.524834055
145	30317	1983	Q1	1983	3480.3	2190.6	565.5	748.7	-24.5	0.529065702
146	30407	1983	Q2	1983.25	3583.8	2254.5	613.8	760.9	-45.4	0.532645691
147	30498	1983	Q3	1983.5	3692.3	2324.3	652.3	780.9	-65.2	0.538236152
148	30590	1983	Q4	1983.75	3796.1	2376.7	718.5	772.3	-71.4	0.542183818
149	30682	1984	Q1	1984	3912.8	2422.8	790.9	794.1	-95	0.547965157
150	30773	1984	Q2	1984.25	4015	2481.2	818.9	819.2	-104.3	0.552573631
151	30864	1984	Q3	1984.5	4087.4	2519.7	838.9	832.6	-103.8	0.557056218
152	30956	1984	Q4	1984.75	4147.6	2568.9	831.7	854.8	-107.8	0.560789616
153	31048	1985	Q1	1985	4237	2643.9	809.9	874.5	-91.3	0.56724011
154	31138	1985	Q2	1985.25	4302.3	2691.2	827	898.5	-114.4	0.570755781
155	31229	1985	Q3	1985.5	4394.6	2764.7	822.2	924.6	-116.9	0.574067301
156	31321	1985	Q4	1985.75	4453.1	2790.9	859.5	936.1	-133.4	0.577379872
157	31413	1986	Q1	1986	4516.3	2834.7	863.5	944.1	-126	0.580195527
158	31503	1986	Q2	1986.25	4555.2	2863	855.2	965.9	-128.9	0.582521292
159	31594	1986	Q3	1986.5	4619.6	2929.7	835.8	993.1	-139	0.58486314
160	31686	1986	Q4	1986.75	4669.4	2966.1	842.1	994.8	-133.6	0.588122678
161	31778	1987	Q1	1987	4736.2	2998.3	871.2	1007.9	-141.2	0.592395247
162	31868	1987	Q2	1987.25	4821.5	3068.8	874.6	1025.1	-147	0.596373397
163	31959	1987	Q3	1987.5	4900.5	3133.5	876.5	1036	-145.5	0.600698701
164	32051	1987	Q4	1987.75	5022.7	3167.6	946.5	1054	-145.4	0.605677282
165	32143	1988	Q1	1988	5090.6	3249	908.6	1057	-124	0.610434929
166	32234	1988	Q2	1988.25	5207.7	3309	934.5	1070.8	-106.6	0.616332327
167	32325	1988	Q3	1988.5	5299.5	3378.3	942	1078.5	-99.3	0.623595307
168	32417	1988	Q4	1988.75	5412.7	3451.2	962.8	1106.4	-107.7	0.628587023
169	32509	1989	Q1	1989	5527.4	3506.1	1005.4	1116.9	-101	0.635501339
170	32599	1989	Q2	1989.25	5628.4	3569.5	1001	1146.1	-88.2	0.642064316
171	32690	1989	Q3	1989.5	5711.6	3625.5	996.5	1164.7	-75.1	0.646730453
172	32782	1989	Q4	1989.75	5763.4	3670.1	995.9	1180.2	-82.8	0.651216922
173	32874	1990	Q1	1990	5890.8	3754.5	1010.8	1214	-88.5	0.658403282
174	32964	1990	Q2	1990.25	5974.7	3800.2	1014.8	1228.5	-68.8	0.665208145
175	33055	1990	Q3	1990.5	6029.5	3863.4	1000.7	1240.4	-75	0.671145048
176	33147	1990	Q4	1990.75	6023.3	3884.4	947.6	1270.4	-79.1	0.676213036
177	33239	1991	Q1	1991	6054.9	3890.2	924.6	1287.2	-47.1	0.68296562
178	33329	1991	Q2	1991.25	6143.6	3943.7	926.6	1296.5	-23.2	0.687634312
179	33420	1991	Q3	1991.5	6218.4	3989.7	947.5	1302.3	-21.1	0.692680427
180	33512	1991	Q4	1991.75	6279.3	4017.1	978.8	1306.5	-23.1	0.696430948
181	33604	1992	Q1	1992	6380.8	4117.7	956.8	1326.8	-20.5	0.699419051
182	33695	1992	Q2	1992.25	6492.3	4173.4	1013.1	1338.6	-32.8	0.703886811
