DATE	Inv
1/1/1947	35.9
4/1/1947	34.5
7/1/1947	34.9
10/1/1947	43.2
1/1/1948	47.2
4/1/1948	50.3
7/1/1948	52.5
10/1/1948	51.3
1/1/1949	43.1
4/1/1949	36.2
7/1/1949	39.5
10/1/1949	37.5
1/1/1950	46.7
4/1/1950	52.3
7/1/1950	58.6
10/1/1950	68.4
1/1/1951	64.6
4/1/1951	67.4
7/1/1951	62
10/1/1951	57.1
1/1/1952	58.1
4/1/1952	53
7/1/1952	57.2
10/1/1952	60.7
1/1/1953	61.7
4/1/1953	62.1
7/1/1953	61.4
10/1/1953	56.4
1/1/1954	55.7
4/1/1954	55.4
7/1/1954	59
10/1/1954	62.1
1/1/1955	68.7
4/1/1955	72.7
7/1/1955	74.7
10/1/1955	78.9
1/1/1956	78.3
4/1/1956	77
7/1/1956	78.3
10/1/1956	77.1
1/1/1957	77.7
4/1/1957	77.9
7/1/1957	79.3
10/1/1957	71
1/1/1958	66.7
4/1/1958	65.1
7/1/1958	72
10/1/1958	80
1/1/1959	83.2
4/1/1959	89.4
7/1/1959	83.6
10/1/1959	86.5
1/1/1960	96.5
4/1/1960	87.1
7/1/1960	86.4
10/1/1960	76
1/1/1961	78.4
4/1/1961	84.1
7/1/1961	90.9
10/1/1961	92.9
1/1/1962	98.1
4/1/1962	96.7
7/1/1962	98.2
10/1/1962	95
1/1/1963	99.7
1963-04-01   1	1.6
1963-07-01   1	4.6
1963-10-01   1	7.2
1964-01-01   1	10.5
1964-04-01   1	10.5
1964-07-01   1	12.6
1964-10-01   1	15
1965-01-01   1	26.5
1965-04-01   1	27
1965-07-01   1	31.2
1965-10-01   1	33.8
1966-01-01   1	44.2
1966-04-01   1	43.5
1966-07-01   1	43.2
1966-10-01   1	45.9
1967-01-01   1	42.8
1967-04-01   1	37.5
1967-07-01   1	42.8
1967-10-01   1	47.7
1968-01-01   1	52.3
1968-04-01   1	58.9
1968-07-01   1	55.7
1968-10-01   1	60.8
1969-01-01   1	72.4
1969-04-01   1	72.7
1969-07-01   1	77.6
1969-10-01   1	71.6
1970-01-01   1	68.1
1970-04-01   1	71.5
1970-07-01   1	73.9
1970-10-01   1	66.8
1971-01-01   1	89.5
1971-04-01   1	97.3
1971-07-01   2	2.1
1971-10-01   1	98.4
1972-01-01   2	13
1972-04-01   2	26.8
1972-07-01   2	33.1
1972-10-01   2	39.7
1973-01-01   2	54.3
1973-04-01   2	68.2
1973-07-01   2	64.3
1973-10-01   2	80.9
1974-01-01   2	68.4
1974-04-01   2	77.4
1974-07-01   2	71
1974-10-01   2	81.3
1975-01-01   2	44.3
1975-04-01   2	43.3
1975-07-01   2	65.2
1975-10-01   2	76.2
1976-01-01   3	4.6
1976-04-01   3	22.3
1976-07-01   3	28.3
1976-10-01   3	37.6
1977-01-01   3	60.3
1977-04-01   3	89.7
1977-07-01   4	14.1
1977-10-01   4	22.3
1978-01-01   4	34.8
1978-04-01   4	70.6
1978-07-01   4	92.4
1978-10-01   5	15.8
1979-01-01   5	25.8
1979-04-01   5	39.3
1979-07-01   5	45.6
1979-10-01   5	47.9
1980-01-01   5	54.6
1980-04-01   5	19.3
1980-07-01   4	95.1
1980-10-01   5	51.5
1981-01-01   6	19.4
1981-04-01   6	9.8
1981-07-01   6	52.3
1981-10-01   6	43.4
1982-01-01   5	88.3
1982-04-01   5	93.6
1982-07-01   5	93
1982-10-01   5	49.2
1983-01-01   5	65.5
1983-04-01   6	13.8
1983-07-01   6	52.3
