DATE	NX
1/1/1947	10.9
4/1/1947	11.3
7/1/1947	11.8
10/1/1947	9.3
1/1/1948	7.3
4/1/1948	5.2
7/1/1948	4.9
10/1/1948	4.5
1/1/1949	6.5
4/1/1949	6.3
7/1/1949	5.2
10/1/1949	3
1/1/1950	2.2
4/1/1950	1.6
7/1/1950	-0.7
10/1/1950	-0.2
1/1/1951	0.2
4/1/1951	1.9
7/1/1951	3.7
10/1/1951	4.2
1/1/1952	3.7
4/1/1952	2
7/1/1952	0
10/1/1952	-1
1/1/1953	-0.7
4/1/1953	-1.3
7/1/1953	-0.6
10/1/1953	-0.3
1/1/1954	-0.4
4/1/1954	0.3
7/1/1954	0.6
10/1/1954	1.1
1/1/1955	1.1
4/1/1955	-0.2
7/1/1955	0.7
10/1/1955	0.2
1/1/1956	0.4
4/1/1956	1.9
7/1/1956	2.6
10/1/1956	4.5
1/1/1957	4.8
4/1/1957	4.1
7/1/1957	4
10/1/1957	3.4
1/1/1958	1.1
4/1/1958	0.5
7/1/1958	0.9
10/1/1958	-0.3
1/1/1959	0.4
4/1/1959	0
7/1/1959	0.6
10/1/1959	0.6
1/1/1960	2.7
4/1/1960	4.2
7/1/1960	4.2
10/1/1960	5.8
1/1/1961	5.8
4/1/1961	5.5
7/1/1961	3.9
10/1/1961	4.4
1/1/1962	4
4/1/1962	5.8
7/1/1962	3.8
10/1/1962	2.8
1/1/1963	3.9
4/1/1963	6.5
7/1/1963	3.9
10/1/1963	5.4
1/1/1964	7.3
4/1/1964	7.1
7/1/1964	6.4
10/1/1964	6.9
1/1/1965	4.6
4/1/1965	7.5
7/1/1965	4.9
10/1/1965	5.5
1/1/1966	4.4
4/1/1966	5.2
7/1/1966	2.2
10/1/1966	3.6
1/1/1967	4.6
4/1/1967	4.5
7/1/1967	2.9
10/1/1967	2.2
1/1/1968	1.1
4/1/1968	1.9
7/1/1968	1.3
10/1/1968	1.1
1/1/1969	0.2
4/1/1969	1.2
7/1/1969	1
10/1/1969	3.3
1/1/1970	3.4
4/1/1970	5.4
7/1/1970	3.8
10/1/1970	3.2
1/1/1971	4.4
4/1/1971	-0.2
7/1/1971	-0.1
10/1/1971	-1.7
1/1/1972	-3.5
4/1/1972	-4.3
7/1/1972	-2.6
10/1/1972	-3.1
1/1/1973	-1.4
4/1/1973	2.5
7/1/1973	6.4
10/1/1973	9
1/1/1974	6.4
4/1/1974	-2.7
7/1/1974	-7
10/1/1974	0
1/1/1975	16.5
4/1/1975	21.6
7/1/1975	12
10/1/1975	13.8
1/1/1976	4.7
4/1/1976	-0.5
7/1/1976	-4.1
10/1/1976	-6.6
1/1/1977	-21.1
4/1/1977	-21.1
7/1/1977	-20.6
10/1/1977	-29.6
1/1/1978	-38.7
4/1/1978	-22.6
7/1/1978	-23.8
10/1/1978	-16.4
1/1/1979	-18.2
4/1/1979	-22.2
7/1/1979	-23
10/1/1979	-26.8
1/1/1980	-35.8
4/1/1980	-15.2
7/1/1980	5.5
10/1/1980	-6.7
1/1/1981	-14.3
4/1/1981	-13.5
7/1/1981	-7.6
10/1/1981	-14.8
1/1/1982	-16.3
4/1/1982	-4.4
7/1/1982	-29.6
10/1/1982	-29.6
1/1/1983	-24.5
4/1/1983	-45.4
7/1/1983	-65.2
10/1/1983	-71.4
1/1/1984	-95
4/1/1984	-104.3
7/1/1984	-103.8
10/1/1984	-107.8
1/1/1985	-91.3
4/1/1985	-114.4
7/1/1985	-116.9
10/1/1985	-133.4
1/1/1986	-126
4/1/1986	-128.9
7/1/1986	-139
10/1/1986	-133.6
1/1/1987	-141.2
4/1/1987	-147
7/1/1987	-145.5
10/1/1987	-145.4
1/1/1988	-124
4/1/1988	-106.6
7/1/1988	-99.3
10/1/1988	-107.7
1/1/1989	-101
4/1/1989	-88.2
7/1/1989	-75.1
10/1/1989	-82.8
1/1/1990	-88.5
4/1/1990	-68.8
7/1/1990	-75
10/1/1990	-79.1
1/1/1991	-47.1
4/1/1991	-23.2
7/1/1991	-21.1
10/1/1991	-23.1
1/1/1992	-20.5
4/1/1992	-32.8
7/1/1992	-38.5
10/1/1992	-47.1
1/1/1993	-55.7
4/1/1993	-63.2
7/1/1993	-68.4
10/1/1993	-73.4
1/1/1994	-80.6
4/1/1994	-90.6
7/1/1994	-96.9
10/1/1994	-101.9
1/1/1995	-105.3
4/1/1995	-109.5
7/1/1995	-74.4
10/1/1995	-69.8
1/1/1996	-88.8
4/1/1996	-93.7
7/1/1996	-114.2
10/1/1996	-88.8
1/1/1997	-108.8
4/1/1997	-85.2
7/1/1997	-96.8
10/1/1997	-117
1/1/1998	-135.2
4/1/1998	-162.3
7/1/1998	-174.6
10/1/1998	-178.7
1/1/1999	-208.5
4/1/1999	-245.4
7/1/1999	-276.1
10/1/1999	-296.5
1/1/2000	-352.8
4/1/2000	-359.6
7/1/2000	-388.5
10/1/2000	-402.4
1/1/2001	-391.7
4/1/2001	-359.3
7/1/2001	-366.7
10/1/2001	-357
1/1/2002	-375.3
4/1/2002	-416
7/1/2002	-431.6
10/1/2002	-483
1/1/2003	-501.6
4/1/2003	-501.4
7/1/2003	-499.9
10/1/2003	-511.7
1/1/2004	-546.6
4/1/2004	-608
7/1/2004	-638
10/1/2004	-684
1/1/2005	-676.8
4/1/2005	-689.1
7/1/2005	-731.4
10/1/2005	-787.5
1/1/2006	-777.2
4/1/2006	-781.6
7/1/2006	-805.6
10/1/2006	-719.4
1/1/2007	-728.5
4/1/2007	-733
7/1/2007	-712.1
10/1/2007	-700.6
1/1/2008	-756.8
4/1/2008	-759.4
7/1/2008	-773.6
10/1/2008	-602.4
1/1/2009	-393.9
4/1/2009	-341.7
7/1/2009	-405.6
10/1/2009	-440.6
1/1/2010	-488.7
4/1/2010	-523.2
7/1/2010	-535
10/1/2010	-503.7
1/1/2011	-562.5
4/1/2011	-586.9
7/1/2011	-572.4
10/1/2011	-598.1
1/1/2012	-614.8
4/1/2012	-588.5
7/1/2012	-541.7
10/1/2012	-528.2
1/1/2013	-528
4/1/2013	-532
7/1/2013	-509.9
10/1/2013	-462.9
1/1/2014	-538
4/1/2014	-564
