Title:               Net Exports of Goods & Services
Series ID:           NETEXP
Source:              U.S. Department of Commerce: Bureau of Economic Analysis
Release:             Gross Domestic Product
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Billions of Dollars
Date Range:          1947-01-01 to 2014-04-01
Last Updated:        2014-07-30 10:06 AM CDT
Notes:               BEA Account Code: A019RC1
                     
                     A Guide to the National Income and Product Accounts of the United
                     States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)

DATE         VALUE
1947-01-01    10.9
1947-04-01    11.3
1947-07-01    11.8
1947-10-01     9.3
1948-01-01     7.3
1948-04-01     5.2
1948-07-01     4.9
1948-10-01     4.5
1949-01-01     6.5
1949-04-01     6.3
1949-07-01     5.2
1949-10-01     3.0
1950-01-01     2.2
1950-04-01     1.6
1950-07-01    -0.7
1950-10-01    -0.2
1951-01-01     0.2
1951-04-01     1.9
1951-07-01     3.7
1951-10-01     4.2
1952-01-01     3.7
1952-04-01     2.0
1952-07-01     0.0
1952-10-01      -1
1953-01-01    -0.7
1953-04-01    -1.3
1953-07-01    -0.6
1953-10-01    -0.3
1954-01-01    -0.4
1954-04-01     0.3
1954-07-01     0.6
1954-10-01     1.1
1955-01-01     1.1
1955-04-01    -0.2
1955-07-01     0.7
1955-10-01     0.2
1956-01-01     0.4
1956-04-01     1.9
1956-07-01     2.6
1956-10-01     4.5
1957-01-01     4.8
1957-04-01     4.1
1957-07-01     4.0
1957-10-01     3.4
1958-01-01     1.1
1958-04-01     0.5
1958-07-01     0.9
1958-10-01    -0.3
1959-01-01     0.4
1959-04-01     0.0
1959-07-01     0.6
1959-10-01     0.6
1960-01-01     2.7
1960-04-01     4.2
1960-07-01     4.2
1960-10-01     5.8
1961-01-01     5.8
1961-04-01     5.5
1961-07-01     3.9
1961-10-01     4.4
1962-01-01     4.0
1962-04-01     5.8
1962-07-01     3.8
1962-10-01     2.8
1963-01-01     3.9
1963-04-01     6.5
1963-07-01     3.9
1963-10-01     5.4
1964-01-01     7.3
1964-04-01     7.1
1964-07-01     6.4
1964-10-01     6.9
1965-01-01     4.6
1965-04-01     7.5
1965-07-01     4.9
1965-10-01     5.5
1966-01-01     4.4
1966-04-01     5.2
1966-07-01     2.2
1966-10-01     3.6
1967-01-01     4.6
1967-04-01     4.5
1967-07-01     2.9
1967-10-01     2.2
1968-01-01     1.1
1968-04-01     1.9
1968-07-01     1.3
1968-10-01     1.1
1969-01-01     0.2
1969-04-01     1.2
1969-07-01     1.0
1969-10-01     3.3
1970-01-01     3.4
1970-04-01     5.4
1970-07-01     3.8
1970-10-01     3.2
1971-01-01     4.4
1971-04-01    -0.2
1971-07-01    -0.1
1971-10-01    -1.7
1972-01-01    -3.5
1972-04-01    -4.3
1972-07-01    -2.6
1972-10-01    -3.1
1973-01-01    -1.4
1973-04-01     2.5
1973-07-01     6.4
1973-10-01     9.0
1974-01-01     6.4
1974-04-01    -2.7
1974-07-01      -7
1974-10-01     0.0
1975-01-01    16.5
1975-04-01    21.6
1975-07-01      12
1975-10-01    13.8
1976-01-01     4.7
1976-04-01    -0.5
1976-07-01    -4.1
1976-10-01    -6.6
1977-01-01   -21.1
1977-04-01   -21.1
1977-07-01   -20.6
1977-10-01   -29.6
1978-01-01   -38.7
1978-04-01   -22.6
1978-07-01   -23.8
1978-10-01   -16.4
1979-01-01   -18.2
1979-04-01   -22.2
1979-07-01   -23.0
1979-10-01   -26.8
1980-01-01   -35.8
1980-04-01   -15.2
1980-07-01     5.5
1980-10-01    -6.7
1981-01-01   -14.3
1981-04-01   -13.5
1981-07-01    -7.6
1981-10-01   -14.8
1982-01-01   -16.3
1982-04-01    -4.4
1982-07-01   -29.6
1982-10-01   -29.6
1983-01-01   -24.5
1983-04-01   -45.4
1983-07-01   -65.2
1983-10-01   -71.4
1984-01-01   -95.0
1984-04-01  -104.3
1984-07-01  -103.8
1984-10-01  -107.8
1985-01-01   -91.3
1985-04-01  -114.4
1985-07-01  -116.9
1985-10-01  -133.4
1986-01-01  -126.0
1986-04-01  -128.9
1986-07-01  -139.0
1986-10-01  -133.6
1987-01-01  -141.2
1987-04-01  -147.0
1987-07-01  -145.5
1987-10-01  -145.4
1988-01-01  -124.0
1988-04-01  -106.6
1988-07-01   -99.3
1988-10-01  -107.7
1989-01-01  -101.0
1989-04-01   -88.2
1989-07-01   -75.1
1989-10-01   -82.8
1990-01-01   -88.5
1990-04-01   -68.8
1990-07-01   -75.0
1990-10-01   -79.1
1991-01-01   -47.1
1991-04-01   -23.2
1991-07-01   -21.1
1991-10-01   -23.1
1992-01-01   -20.5
1992-04-01   -32.8
1992-07-01   -38.5
1992-10-01   -47.1
1993-01-01   -55.7
1993-04-01   -63.2
1993-07-01   -68.4
1993-10-01   -73.4
1994-01-01   -80.6
1994-04-01   -90.6
1994-07-01   -96.9
1994-10-01  -101.9
1995-01-01  -105.3
1995-04-01  -109.5
1995-07-01   -74.4
1995-10-01   -69.8
1996-01-01   -88.8
1996-04-01   -93.7
1996-07-01  -114.2
1996-10-01   -88.8
1997-01-01  -108.8
1997-04-01   -85.2
1997-07-01   -96.8
1997-10-01  -117.0
1998-01-01  -135.2
1998-04-01  -162.3
1998-07-01  -174.6
1998-10-01  -178.7
1999-01-01  -208.5
1999-04-01  -245.4
1999-07-01  -276.1
1999-10-01  -296.5
2000-01-01  -352.8
2000-04-01  -359.6
2000-07-01  -388.5
2000-10-01  -402.4
2001-01-01  -391.7
2001-04-01  -359.3
2001-07-01  -366.7
2001-10-01  -357.0
2002-01-01  -375.3
2002-04-01  -416.0
2002-07-01  -431.6
2002-10-01  -483.0
2003-01-01  -501.6
2003-04-01  -501.4
2003-07-01  -499.9
2003-10-01  -511.7
2004-01-01  -546.6
2004-04-01  -608.0
2004-07-01  -638.0
2004-10-01  -684.0
2005-01-01  -676.8
2005-04-01  -689.1
2005-07-01  -731.4
2005-10-01  -787.5
2006-01-01  -777.2
2006-04-01  -781.6
2006-07-01  -805.6
2006-10-01  -719.4
2007-01-01  -728.5
2007-04-01  -733.0
2007-07-01  -712.1
2007-10-01  -700.6
2008-01-01  -756.8
2008-04-01  -759.4
2008-07-01  -773.6
2008-10-01  -602.4
2009-01-01  -393.9
2009-04-01  -341.7
2009-07-01  -405.6
2009-10-01  -440.6
2010-01-01  -488.7
2010-04-01  -523.2
2010-07-01  -535.0
2010-10-01  -503.7
2011-01-01  -562.5
2011-04-01  -586.9
2011-07-01  -572.4
2011-10-01  -598.1
2012-01-01  -614.8
2012-04-01  -588.5
2012-07-01  -541.7
2012-10-01  -528.2
2013-01-01  -528.0
2013-04-01  -532.0
2013-07-01  -509.9
2013-10-01  -462.9
2014-01-01  -538.0
2014-04-01  -564.0
